SecurityCode,Symbol,SecurityName,ISINNo,Sector,Industry,Exchange,Currency,GICS,Country
541556,RITES,RITES Ltd,INE320J01015,Industrials,Construction,NSE,INR,20103010,India
542383,RITCO,Ritco Logistics Ltd,INE01EG01016,Services,Services,NSE,INR,20201040,India
543256,RFLL,Rita Finance and Leasing Ltd,INE018S01016,Financial Services,Financial Services,NSE,INR,40201020,India
526492,RISHIROOP,Rishiroop Ltd,INE582D01013,Industrials,Capital Goods,NSE,INR,40203030,India
523021,RISHITECH,RISHI TECHTEX LTD.,INE989D01010,Industrials,Capital Goods,NSE,INR,40203030,India
526861,RISHILASE,RISHI LASER LTD.,INE988D01012,Industrials,Capital Goods,NSE,INR,40203030,India
514177,RISHYRN,RISHAB SPECIAL YARNS LTD.,INE351D01013,Consumer Discretionary,Textiles,NSE,INR,25203030,India
531539,RISHDIGA,RISHABH DIGHA STEEL & ALLIED PRODUCTS LTD.-$,INE864D01015,Industrials,Capital Goods,NSE,INR,40203030,India
517035,RIR,RIR Power Electronics Ltd,INE302D01016,Industrials,Capital Goods,NSE,INR,40203030,India
507508,RIGASUG,RIGA SUGAR COMPANY LTD.-$,INE909C01010,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
541151,RIDINGS,Ridings Consulting Engineers India Ltd,INE314Z01014,Services,Services,NSE,INR,20201040,India
504365,RIDHISYN,RIDHI SYNTHETICS LTD.,INE07LK01010,Financial Services,Financial Services,NSE,INR,40201020,India
540082,RSTL,Riddhi Steel and Tube Ltd,INE367U01013,Industrials,Capital Goods,NSE,INR,40203030,India
524480,RIDDHI,RIDDHI SIDDHI GLUCO BIOLS LTD.-$,INE249D01019,Services,Services,NSE,INR,20201040,India
540590,RIDDHICORP,Riddhi Corporate Services Ltd,INE325X01015,Information Technology,Information Technology,NSE,INR,45,India
520008,RICOAUTO,RICO AUTO INDUSTRIES LTD.,INE209B01025,Consumer Discretionary,Automobile and Auto Components,NSE,INR,25102010,India
519230,RICHIRICH,Richirich Inventures Limited,INE102C01020,Services,Services,NSE,INR,20201040,India
539435,RFSL,Richfield Financial Services Ltd,INE201C01012,Financial Services,Financial Services,NSE,INR,40201020,India
532766,RICHAIND,RICHA INDUSTRIES LTD.,INE516H01012,Industrials,Construction,NSE,INR,20103010,India
530271,RICHUNV,RICH UNIVERSE NETWORK LTD.,INE652D01014,Financial Services,Financial Services,NSE,INR,40201020,India
531952,RIBATEX,RIBA TEXTILES LTD.,INE811H01017,Consumer Discretionary,Textiles,NSE,INR,25203030,India
534076,RHIM,Rhi Magnesita India Ltd,INE743M01012,Industrials,Capital Goods,NSE,INR,40203030,India
543590,RHETAN,Rhetan TMT Ltd,INE0KKN01029,Industrials,Capital Goods,NSE,INR,40203030,India
